time,re,x,y,U_x,U_y,p
5.0,448.9795918367347,0.3515625,0.3515625,-0.0774451,0.0496225,-0.00238507
1.0,448.9795918367347,0.0234375,0.3046875,-0.000386236,0.00698519,-0.000803713
8.0,1000.0,0.3359375,0.9453125,0.132532,0.0411376,-0.0115586
7.0,412.2448979591837,0.6328125,0.1171875,-0.0398508,-0.0138336,0.0018533
0.0,706.1224489795919,0.3671875,0.8046875,0.0,0.0,0.0
1.0,504.08163265306126,0.5859375,0.2578125,-0.022328,-0.00309945,0.00271122
6.0,393.8775510204082,0.4609375,0.5859375,-0.0968483,0.204845,-0.0499885
4.0,761.2244897959184,0.6015625,0.1953125,-0.0411524,-0.00768278,0.00300699
9.0,357.1428571428572,0.2734375,0.0546875,-0.0209479,0.00319436,-0.000463727
10.0,687.7551020408164,0.0390625,0.8046875,-0.000951363,0.0718453,-0.0204081
8.0,595.9183673469388,0.8515625,0.5078125,-0.204518,-0.384672,-0.0332326
3.0,797.9591836734694,0.7109375,0.9921875,0.887797,0.000510898,-0.0367889
7.0,724.4897959183675,0.3984375,0.7265625,0.0682852,0.199625,-0.03264
0.0,357.1428571428572,0.0703125,0.2734375,0.0,0.0,0.0
0.0,504.08163265306126,0.6640625,0.9765625,0.0,0.0,0.0
8.0,540.8163265306123,0.2578125,0.4140625,-0.0914356,0.130025,-0.00897584
8.0,357.1428571428572,0.3046875,0.3828125,-0.134475,0.13339,-0.010976
0.0,632.6530612244899,0.8203125,0.6328125,0.0,0.0,0.0
7.0,504.08163265306126,0.4765625,0.0234375,-0.0133762,-7.57164e-05,0.00113248
4.0,191.8367346938776,0.9453125,0.0703125,-0.000132372,-0.000142235,0.00510392
2.0,283.6734693877551,0.8046875,0.6171875,-0.222443,-0.169102,-0.00129018
2.0,246.9387755102041,0.6171875,0.6796875,-0.159144,0.0696139,-0.0250379
2.0,834.6938775510205,0.1015625,0.9765625,0.158681,0.0533811,-0.011751
10.0,706.1224489795919,0.1015625,0.0234375,-0.00151008,0.000361199,-0.00012747
2.0,595.9183673469388,0.3046875,0.8671875,-0.0517254,0.0673538,-0.0110904
9.0,136.73469387755102,0.1484375,0.4921875,-0.0417112,0.160771,-0.016675
0.0,779.591836734694,0.0390625,0.7578125,0.0,0.0,0.0
3.0,504.08163265306126,0.1640625,0.8515625,-0.0508224,0.109231,-0.014734
8.0,448.9795918367347,0.0703125,0.7109375,0.000773014,0.120665,-0.0212391
